"category","description","discord","guide","megaMafia","name","native","telegram","testnet","twitter","website"
"DeFi","A mobile-first derivatives trading platform","","","true","Euphoria","true","https://t.me/euphoria_fi","false","Euphoria_fi","https://euphoria.finance?ref_id=KJUOFVBTM"
"Gaming","An autonomous world engine to power 3D experience","https://discord.gg/oncyber","true","true","AWE","true","","true","awe_box","https://awe.box"
"Gaming","A prediction market for streamers","https://discord.gg/sweepgg","","true","Sweep","true","","false","trysweep","https://sweep.gg/?invite=talented-disappearance"
"DeFi","A lending protocol based on a composable CLOB","","","true","Avon","true","https://t.me/avon_xyz","false","avon_xyz",""
"Infrastructure","An online museum for all human constructions","","","true","Funes","true","","false","Funes_World","https://funes.world"
"AI","A platform focused on creating virtual companions","https://discord.gg/ZFfEAbgsHm","true","true","NectarAI","true","","true","TryNectarAI","https://nectar.ai/?utm_source=affiliate&utm_medium=referral&utm_campaign=0xultraman"
"Community","An on-chain toolkit for creating events, managing communities","","true","true","Lemonade","true","","true","lemonade_events","https://lemonade.social"
"Infrastructure","A fully on-chain VPN","","","true","Hop Network","true","https://t.me/HOPHerd","false","Hop_Network","https://hopnetwork.xyz"
"DeFi","Discover and trade trends","","true","true","Noise","true","","true","noise_xyz","https://noise.xyz"
"Gaming","An on-chain and physical trading card game","https://discord.gg/JWdRTRvFYN","true","true","Showdown","true","","true","Showdown_TCG","https://showdown.game"
"Gaming","A live, interactive gameshow where users can win prizes","","","true","Pump Party","true","","false","pumppartyapp","https://pumpparty.com"
"DeFi","The on-chain exchange on MegaETH. Trade perpetuals, spot, and earn more.","https://discord.gg/valhallaperps","true","true","Valhalla","true","","true","valhalla_defi","https://valhalla.exchange"
"DeFi","The world's fastest decentralized exchange.","https://discord.gg/gte-xyz","true","false","GTE","true","","true","GTE_XYZ","https://gte.xyz"
"DeFi","A stablecoin engine to democratize sophiscated yield strategies","https://discord.gg/JEWtg6TC8J","true","true","cap","true","https://t.me/stablecoinmafia","true","capmoney_","https://cap.app"
"DeFi","The marketplace for spot, perps, and lending - all CLOBS, all cross-margined, fully onchain","https://discord.gg/qSPz2v3m","false","true","WCM","true","","true","wcm_inc","http://wcm.inc/waitlist?ref_id=ZEKWYETON"
"NFT","NFT collection","","","false","Alien Rabbits","true","","false","AlienRabbitsNft",""
"Gaming","An autonomous world. On-chain Minecraft.","https://discord.gg/biomes","","false","Biomes","true","","false","biomesgg","https://biomes.gg"
"DeFi","Compare, buy, and manage insurance for DeFi assets","https://discord.gg/RTyNDUjKqu","","false","Bright Union","false","https://t.me/brightunion","false","bright_union","https://brightunion.io"
"DeFi","The native concentrated liquidity layer of MegaETH","","true","false","Bronto","true","","true","bronto_finance","https://bronto.finance"
"Infrastructure","A communication layer for anonymous messaging and more","https://discord.gg/nQf64NP7","","false","ComLayer","true","","false","comlayerdapp",""
"NFT","An NFT marketplace and launchpad","https://discord.gg/65ZRCVY59C","","false","Kingdomly","false","","true","KingdomlyApp","https://kingdomly.app"
"Infrastructure","A ZK and omnichain abstraction layer","https://discord.gg/zecrey","","false","Kontos Protocol","false","https://t.me/zecrey","false","Kontosio","https://kontos.io"
"NFT","NFT collection","","","false","Mega Buddies","true","https://t.me/megabuddies","false","mega_buddies","https://megabuddies.fun"
"NFT","NFT collection","https://discord.gg/5Fg5z3pZfV","","false","Mega Cheetah","true","","false","mega_cheetahnft",""
"DeFi","Trading and sniping Telegram Bot","","","false","MegaBot","true","","false","Mega_BotETH",""
"DeFi","A V3 concentrated liquidity AMM","","","false","MegaDex Labs","true","","false","megadex_labs","https://megadex.app"
"NFT","NFT collection","","","false","MegaFrog","true","","false","Mega_Frogs",""
"Community","MegaETH ecosystem news and content, all in one place: curated insights & original content","","","false","MegaHub","true","","false","_MegaHub_","http://megahub.live"
"NFT","NFT collection","","","false","MegaPunks","true","","false","MegaPunks_nft",""
"NFT","NFT collection","https://discord.gg/megarabbitchat","","false","MegaRabbits","true","","false","MegaRabbitNFT",""
"DeFi","An exchange built to save Ethereum","","","false","Megaton","true","","false","0xmegaton",""
"NFT","NFT collection + AI agents","","","false","Mekaeth","true","","false","mekaeth_xyz",""
"NFT","NFT collection","","","false","Paw","true","","false","MegaPaw_",""
"NFT","NFT collection","","","false","Rabbit Mafia","true","","false","RabbitMafiaNFT",""
"AI","A launchpad for AI agents, memecoins and top tier projects","","true","false","RainMakr","true","","true","RainMakr_xyz",""
"DeFi","An interoperability protocol for BTC holders to interact with DeFi","https://discord.gg/wbnft7K38t","","false","Ren","false","","false","renprotocol","https://renprotocol.org"
"DeFi","Liquid staking for Ethereum and Bitcoin","https://discord.gg/cswURCh8Nx","","false","StakeStone","false","https://t.me/+afYqz2KG_YNlNzNl","false","Stake_Stone","https://stakestone.io"
"DeFi","A yield aggregator","","","false","StackUp","true","","false","usestackup",""
"Gaming","A strategy guessing game","","","false","Battlefold","true","https://t.me/battlefold","true","Battlefold_hq",""
"DeFi","Next-Gen Synthetic Stable Money Powered by RWA, Tradefi & Defi.","https://discord.gg/r2yield","","false","R2","false","https://t.me/R2Yield","false","r2yield","https://www.r2.money/"
"Infrastructure","A decentralized hosting network","","","false","Dx Protocol","true","","false","0xDxProtocol","https://dxprotocol.org"
"NFT","NFT collection","","","false","Digit Rabbits","true","","false","digitrabbits",""
